"gene_name"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"A1BG"	2.00903041360301	0.0774719227800921	0.537303102206515	0.144186628482029	0.885353099535264	0.999968143772177
"A1BG-AS1"	42.4153865288286	-0.513852691224693	0.252788095746033	-2.03274086031702	0.0420787108322191	0.482462385314404
"A2M"	5.45525381576249	-0.193502841833182	0.69489476714653	-0.278463518480315	0.780656565988594	0.999968143772177
"A2M-AS1"	10.2889914683182	0.396299901959208	0.295742884021566	1.34001500414904	0.180240466977391	0.999968143772177
"A2ML1"	353.283523744081	-0.109815426345096	0.1565649603961	-0.701404874163859	0.483050381026718	0.999968143772177
"A2ML1-AS1"	42.0243156208372	0.163175641625736	0.221049615079778	0.738185594970818	0.460401675235597	0.999968143772177
"A2ML1-AS2"	2.02798115217555	0.616185851131773	0.659842862151181	0.933837261075949	0.350387845721383	0.999968143772177
"A4GALT"	7590.86439940624	0.125581843282481	0.135312282016448	0.928089020531161	0.353361394441578	0.999968143772177
"AAAS"	2672.46580624611	-0.0405129014314922	0.062800353747091	-0.64510626157689	0.518858326385814	0.999968143772177
"AACS"	3180.18305951566	-0.100006242048291	0.0801080094874282	-1.24839254761392	0.211887336826457	0.999968143772177
"AADACL2-AS1"	11.3067350767996	0.0963783425658249	0.247925067370087	0.388739805894486	0.697468633007753	0.999968143772177
"AADACL3"	16.7584165622236	0.00272927442190992	0.728246074551309	0.00374773653753163	0.997009745878699	0.999968143772177
"AADAT"	493.198294809631	0.197260974259869	0.0956848204208269	2.06157019882887	0.0392486737188334	0.461312144173079
"AAED1"	94.8344162356844	-0.914436582323903	0.132816830481018	-6.8849450706821	5.78098371239153e-12	8.37692068419401e-09
"AAGAB"	2829.35200704379	0.06160450631079	0.0847273062376867	0.727091525109627	0.467169890044609	0.999968143772177
"AAK1"	1315.77789891431	-0.350198512288828	0.185553424147618	-1.88731905055132	0.0591174256137628	0.597060491678327
"AAMDC"	344.480455846615	-0.329425679652084	0.108067002721351	-3.04834659383958	0.0023010436435743	0.060362722477557
"AAMP"	6009.36712341676	-0.0591690142674059	0.0580455340500111	-1.0193551534288	0.308034388776691	0.999968143772177
"AANAT"	5.19206348579165	-0.401100458777284	0.410750759658869	-0.976505701682452	0.328813923787742	0.999968143772177
"AAR2"	1550.51368722992	0.219787533056204	0.12074570471753	1.82025135859177	0.068720735114441	0.655745365171665
"AARD"	2.10952275796502	-0.495957810515107	0.598866445859216	-0.828160959666955	0.407579350138784	0.999968143772177
"AARS"	18965.9979603022	-0.242616729167332	0.11508926152601	-2.10807442806036	0.035024551990708	0.429237662938882
"AARS2"	8065.89848661332	0.363204680885589	0.157602713172082	2.30455855470595	0.0211913093989496	0.305472072482254
"AARSD1"	92.709003761529	0.230284561027215	0.135172484584925	1.70363489089035	0.0884493188509939	0.758893409751875
"AASDH"	1235.21088988689	-0.077789928161414	0.0917412265070292	-0.847927710618233	0.396478230978969	0.999968143772177
"AASDHPPT"	3138.68991992366	0.0301340923087116	0.126363422571104	0.23847163756391	0.811515310821209	0.999968143772177
"AASS"	7720.01885513702	-0.107940854031323	0.181906110650732	-0.593387729775466	0.552921698675157	0.999968143772177
"AATK"	3.97980132629401	-0.150665554968359	0.420670439034202	-0.358155793676079	0.720226727303461	0.999968143772177
"AB019441.29"	11.2926892349663	-0.668642798462314	0.44119182099493	-1.51553761117888	0.129636313022481	0.921162145814001
"ABAT"	193.859202367354	-0.323314703406641	0.100361855752318	-3.22148988759781	0.00127525962633015	0.0386130850042053
"ABBA01017803.1"	200.458070336068	0.19214564290319	0.19160410992513	1.0028263119109	0.315944671250334	0.999968143772177
"ABBA01031664.1"	28.0303382464774	-0.108044161312177	0.26580006973263	-0.406486580010529	0.684385115492008	0.999968143772177
"ABC14-1080714F14.1"	1.6142543343307	0.0677349612789147	0.823218654694483	0.0822806442646188	0.934423545862919	0.999968143772177
"ABCA1"	10515.7705289354	0.4800222084999	0.131039327727513	3.66319193500499	0.0002490917488129	0.0107668493130349
"ABCA11P"	23.0319102146688	-0.493161071969203	0.289402485390927	-1.70406647096703	0.0883686697093562	0.758763718751611
"ABCA12"	12.6599589575547	0.564602761287974	0.305747729489952	1.84662944915353	0.0648008630636198	0.631525064419337
"ABCA13"	273.895918340431	1.13650796043269	0.181732498905836	6.25374089541118	4.00735658680301e-10	2.65095349861773e-07
"ABCA17P"	35.5109197637784	-0.450243315679318	0.206144469046762	-2.18411543012189	0.0289537671318724	0.379604969333424
"ABCA2"	1517.05021307201	-0.508128252759603	0.122817151705981	-4.13727436031118	3.51455779855328e-05	0.00233002165163347
"ABCA3"	373.818379341342	-0.258096836023685	0.122806985860675	-2.10164620697147	0.0355842790084135	0.434173861357667
"ABCA4"	9.63445695782772	-1.57369476865011	0.560022245075332	-2.81005760483393	0.00495326335718059	0.109043337103962
"ABCA5"	75.7621634716459	-0.206113754473709	0.181076742035975	-1.13826741168537	0.25500883737413	0.999968143772177
"ABCA7"	844.615311135165	-0.263408416087563	0.213845498643587	-1.2317697485257	0.218035106763642	0.999968143772177
"ABCA9-AS1"	1.99249469828823	-0.422842433488197	0.534752300982809	-0.790725785959341	0.429104025370519	0.999968143772177
"ABCB10"	1954.32987841118	0.192213572777004	0.0854027720360909	2.2506713563791	0.0244063602493973	0.338516406054835
"ABCB4"	1.25490654840933	-0.76090888683308	0.673531040176477	-1.12973098705846	0.25858959598942	0.999968143772177
"ABCB5"	4.8888092294396	-0.537860829651211	0.48904224161015	-1.09982489013695	0.27140842537073	0.999968143772177
"ABCB6"	73.0829032165721	-0.0733231597554763	0.209617123266872	-0.349795658926803	0.726492057162109	0.999968143772177
"ABCB7"	2674.5768463009	0.586568206311736	0.106961044595163	5.48394238792115	4.15950282200452e-08	1.13012206137141e-05
"ABCB8"	4551.11820330358	0.077635961479232	0.0944902399849905	0.821629424283019	0.411287837535979	0.999968143772177
