gene_name	LSK_F_WT_1	LSK_F_WT_2	LSK_F_KO_1	LSK_F_KO_2
Mfsd9	356	621	368	623
Tmem182	1	0	0	0
4930448I06Rik	0	0	0	0
Pantr1	0	0	0	0
Pou3f3	0	0	0	0
2900092D14Rik	0	0	0	0
Pantr2	0	0	0	0
Dalir	0	0	0	0
Mrps9	3084	3400	2747	3295
Gpr45	45	65	13	65
Tgfbrap1	1837	1773	2606	1981
AI597479	2172	2955	2530	2080
Fhl2	125	277	202	236
Nck2	1625	1680	1871	1679
1500015O10Rik	0	0	0	0
Uxs1	925	1087	1181	979
Tpp2	5130	5541	6642	5493
Mettl21c	0	8	0	1
Tex30	2500	3149	3124	2339
Kdelc1	4351	4351	3769	3569
Bivm	1654	2144	1590	1923
Ercc5	1170	1903	1080	1432
Mettl21e	0	0	0	0
Gulp1	498	1430	526	762
4930521E06Rik	4	2	0	1
Col3a1	15	0	0	0
Col5a2	0	0	11	0
Wdr75	4470	4556	4504	3860
Slc40a1	1108	2287	297	791
Stk-ps2	0	0	0	0
Dnah7b	0	2	0	2
Slc39a10	3232	2581	4380	2489
Mir6350	0	0	0	0
Tmeff2	0	0	0	0
9330175M20Rik	0	0	0	0
Sdpr	442	429	1065	728
Nabp1	1427	1731	1186	1338
Myo1b	70	18	36	41
Stat4	7202	8004	6553	7108
Stat1	8104	11749	15949	14218
Gls	6987	7079	8461	6085
Nab1	5455	7150	6227	5742
Tmem194b	1513	1865	1418	1771
Mfsd6	2661	3332	2840	2182
Inpp1	2422	2683	2291	2333
Hibch	1656	2527	1865	1962
1700019D03Rik	53	72	15	63
Mstn	0	0	0	0
1700019A02Rik	0	0	0	0
Pms1	1869	1681	1751	1617
Ormdl1	2083	3361	2317	2461
Osgepl1	1130	1290	1070	992
Asnsd1	4504	6758	5139	5473
Dnah7a	0	0	0	2
Stk17b	7693	5318	7237	3649
Hecw2	2	0	0	0
Mir7681	0	0	0	0
Ccdc150	10	24	21	13
Gtf3c3	1273	1573	1573	1460
Pgap1	6	1	0	24
Ankrd44	925	1171	1586	1357
Sf3b1	24924	24761	28019	22634
Coq10b	492	526	442	319
Hspd1	8693	6858	8440	6754
Hspe1	892	855	833	609
Mob4	3151	4394	2626	3021
